Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Claud. 22.336,hic,his,Nicolaus Heinsius,1665,n1q,'si liceat per codices antiquos'
Claud. 22.370,spati-,speciosa,Pieter Burman I,1760,Paris. lat. 18552 (P),s.l.
Claud. 22.371,-um,cruentam,Gronovius,1637,Ambros. S 66 sup. (K4),Diatribe p. 333
Claud. 22.450,-at r./r. -ant,stabant rutuli,Gevartius,1650,W1θac,apud Heinsium
Claud. 23.23,quint-,quinos,Scaliger,1603,P10pc,
Claud. 24.200,cing-,stringas,Nicolaus Heinsius,1665,Paris. lat. 7936 (P14),
Claud. 24.235,quas,quot,Nicolaus Heinsius,1665,ς unus (Birt),
Claud. 24.244,sagitt-,pharetris,Nicolaus Heinsius,1760,Lond. Burn. 167 (L),apud Burmannum p. 888; in ras.
Claud. 24.278,namque,iamque,Ludwig Jeep,1876,Paris. lat. 8079 (P11),
Claud. 26.2,arma-,artatum,Scaliger,1603,Brux. 5381 (Γ),
Claud. 26.138,luct-,cunctamine,Nicolaus Heinsius,1650,exc. Laeti.,
Claud. 26.190,li-,lechaei,Scaliger,1603,Ambros. S 66 sup. (K4),marg.
Claud. 26.207,an,at,Theodor Birt,1892,Atreb. 65,
Claud. 26.220,-s-,diffissa,Scaliger,1603,Cantab. Coll. Corp. Christi 228 (C1),
Claud. 26.328,nimbosue aut,nimbosaue,Nicolaus Heinsius,1760,Ppc,apud Burmannum p. 899
Claud. 26.347,astr-,austris,Scaliger,1603,Paris. 7647,p.c.
Claud. 26.370,-uex-,reuixit,Johannes Camers,1510,F17Z,
Claud. 26.406,-i … -i,animis … receptis,Nicolaus Heinsius,1650,gpc,
Claud. 26.541,-ire,seruare,Theodor Birt,1892,J6ac,
Claud. 26.583,praeclarus,praefectus,Ludwig Jeep,1876,Vat. lat. 2808 (R13),v.l.
Claud. 26.583,-is,gentes,Caspar von Barth,1612,Bodl. Rawl. G. 134 (O8),
Claud. 26.622,-i,cognatis,Scaliger,1603,Paris. lat. 18552 (P),v.l.
Claud. 28.6,coet-,cultu,Johannes Schrader,1871,F3vlζvl,apud Haupt
Claud. 28.15,sint-,suntque,Nicolaus Heinsius,1760,Ppc,apud Burmannum p. 909
Claud. 28.21,recond-,retundunt,J. M. Gesner,1759,Cantab. Coll. Corp. Christi 228 (C1),
Claud. 28.192,aut,ut,Scaliger,1603,θac,
Claud. 28.212,b. m.,medius belli,Caspar von Barth,1650,Patav. bibl. capitul. C. 62 (p2),
Claud. 28.267,-i,diuerso,Gilbert Wakefield,s.xviii ex.,F3ζ,apud Hall
Claud. 28.267,-e,stamina,Th. Hertel,1848,Antuerp. Μ 17.1 (A2),
Claud. 28.283,sors,fors,Nicolaus Heinsius,1650,Paris. lat. 8079 (P11),'vel sine libris'
Claud. 28.291,hic,haec,Scaliger,1603,J3pc,
Claud. 28.312,-it,desinet,Mommsen,1892,J3acP10,apud Birt
Claud. 28.356,-di,moranti,Nicolaus Heinsius,1760,F17ac,apud Burmannum
Claud. 28.365,nom-,numine,J. M. Gesner,1759,Guelf. Helmaest. 538 (W2),
Claud. 28.485,manum,manu,Caspar von Barth,1650,Antuerp. Μ 17.1 (A2),p. 754
Claud. 28.624,artes,acies,Theodor Poelman,1571,Antuerp. Μ 17.1 (A2),
Claud. 28.651,indu-,imbuit,Scaliger,1603,b1F3vl,
Claud. 28.659,iste,ipse,Stephanus Claverius,1602,P10S3,
Claud. Don. Aen. 9.585,mort-,inertem,Karl Hoppe,1891,Vat. lat. 1512 (V),
Claud. Gigant. 7,ὡς,ὣς,Hermann Köchly,1851,Laur. Conv. Soppr. 164 (F23),Conjectaneorum epicorum fasc. I
Claud. Gigant. 18,ῥιφθ-,ῥιφεῖσα,Hermann Köchly,1851,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 19,γίνεται [...],γίνετο πᾶσα,Hermann Köchly,1851,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 26,-ε,τάνυσεν,Hermann Köchly,1851,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 32,νιέρος,Νηρέος,Juan de Iriarte,1769,F23 mg.,p. 219
Claud. Gigant. 59,πρόῤῥειζ-,πρόρριζον,Juan de Iriarte,1769,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 64,φοίν-,φόνιον,Karl Schenkl,1863,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 68,-ὸς,πυροῖς,A. Ludwich,1897,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 68,τοῖς,τοῖσι,Karl Schenkl,1863,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 69,-ος,πυρόεντας,Hermann Köchly,1851,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 70,ἔκθ-,ἔνθορε,Hermann Köchly,1851,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 71,περὶ ζ.,περιζείουσα,Juan de Iriarte,1769,Laur. Conv. Soppr. 164 (F23),
Claud. Gigant. 75,νοῦσ-,νῆσος,Hermann Köchly,1851,Laur. Conv. Soppr. 164 (F23),
Claud. carm. min. 9.1,-e,memoranda,Nicolaus Heinsius,1665,Crac. 71 (g),
Claud. carm. min. 9.15,pinnae/pugnae,spinae,Nicolaus Heinsius,1760,cod. Buslid. Heinsii,apud Burmannum
Claud. carm. min. 9.34,mut-,mota,Nicolaus Heinsius,1650,Paris. lat. 18552 (P),s.l.
Claud. carm. min. 17.8,clar-,cara,Johannes Camers,1510,Flor et Δ,
Claud. carm. min. 17.11,erex-,arrexit,Nicolaus Heinsius,1650,Guelf. Gud. lat. 220 (W1),'si per codices scriptos liceat'
Claud. carm. min. 17.35,-er,patri,Nicolaus Heinsius,1650,Ambros. S 66 sup. (K4),
Claud. carm. min. 17.42,-auit,dicabit,Nicolaus Heinsius,1650,Veron. 163 (Δ),
Claud. carm. min. 20.5,uario,uano,Nicolaus Heinsius,1665,Matrit. 10082 (ζ),
Claud. carm. min. 22.17,-is,famuli,Scaliger,1603,Ambros. S 66 sup. (K4),
Claud. carm. min. 25.101,populis-/peplū-,peplisque,Ludwig Jeep,1876,Laur. 33.4 (F3),
Claud. carm. min. 26.49,leuis,lenes,Johannes Camers,1510,gJ3O3/C1,
Claud. carm. min. 26.51,plen-,planas,Nicolaus Heinsius,1650,W1pc,'vel contra libros'
Claud. carm. min. 27.10,saeu-,scaeua,Nicolaus Heinsius,1760,Marc. XII. 11 (T2),apud Burmannum p. 981
Claud. carm. min. 27.27,nam-,iamque,Nicolaus Heinsius,1665,Parm. Palat. 2504 (Z),
Claud. carm. min. 27.28,toties,totidem,Nicolaus Heinsius,1650,Crac. 71 (g),
Claud. carm. min. 27.34,flat-,fluctu,Nicolaus Heinsius,1760,F2W1,apud Burmannum
Claud. carm. min. 27.84,gemmis &,gemmisque,Nicolaus Heinsius,1650,unus Burmanni,
Claud. carm. min. 27.110,nec,non,Nicolaus Heinsius,1665,Lond. Harl. 2753 (L4),
Claud. carm. min. 28.23,uel(l)ata,uallata,Nicolaus Heinsius,1650,Vat. lat. 3289 (R31),
Claud. carm. min. 28.24,-is causa/-es causas,-is causa est,Ludwig Jeep,1876,Lond. Bibl. Brit. Add. 6042 (L3),
Claud. carm. min. 30.87,aur-,horae,Andreas Schott,1615,Cuiacii vetus (Claverius),p. 111
Claud. carm. min. 30.166,-no,marito,Scaliger,1650,Matrit. 10082 (ζ),apud Heinsium
Claud. carm. min. 30.174,acheloïus iret,achelous abiret,Nicolaus Heinsius,1760,gpcK4,apud Burmannum
Claud. carm. min. 31.6,-i,dulces,Caspar von Barth,1612,gpc,p. 463
Claud. carm. min. 32.7,inclu-,infusum,Pieter Burman I,1760,Veron. 163 (Δ),
Claud. carm. min. 34.3,iunx-,uinxit,Scaliger,1650,CgpcO3,apud Heinsium p. 269
Claud. carm. min. 40.22,libr-,labris,Nicolaus Heinsius,1650,Crac. 71 (g),p. 251
Claud. carm. min. 41.9,chii,cei,Scaliger,1603,Ambros. S 66 sup. (K4),
Claud. carm. min. 41.11,-tur,uidebor,Scaliger,1603,ΔK4,
Claud. carm. min. 42.1,-is,superbi,Caspar von Barth,1612,Matrit. 10082 (ζ),p. 481
Claud. carm. min. 49.3,-is,molli,Nicolaus Heinsius,1650,J3ac,p. 257
Claud. carm. min. 53.83,-us,auido,Caspar von Barth,1650,Lond. Burn. 167 (L),p. 945
Claud. rapt. Pros. 1.46,aucto/acto,uasto,Georg Goetz,1876,Monac. 391 (M3),PhilAnz 7 p. 143
Claud. rapt. Pros. 1.67,-e,illa,Pietro Odo,s.xv med.,R14mgR26mg,apud Hall
Claud. rapt. Pros. 1.92,i c. (et) p.,i celer i proscinde,Pieter Burman I,1760,Erlang. 626 (e2),'miror vero non geminasse Heinsium & legisse &c.'
Claud. rapt. Pros. 1.147,-am,trisulco,Nicolaus Heinsius,1650,Lond. Bibl. Brit. Add. 6042 (L3),
Claud. rapt. Pros. 1.149,respuit/respicit,despicit,Stephanus Claverius,1602,Crac. 71 (g),
Claud. rapt. Pros. 1.205,-is … -is,coniferi … rami,Ludwig Jeep,1876,Parm. Palat. 2504 (Z),
Claud. rapt. Pros. 1.224,-unt,quiescant,Nicolaus Heinsius,1760,L2O2vl,apud Burmannum p. 942
Claud. rapt. Pros. 1.261,sta-,gramina,Gilbert Wakefield,s.xviii ex.,Erlang. 626 (e2),apud Hall
Claud. rapt. Pros. 2 praef. 29,act-,astusque,Nicolaus Heinsius,1760,Berol. lat. oct. 112 (G2),apud Burmannum p. 945
Claud. rapt. Pros. 2 praef. 52,-idos,placito,Stephanus Claverius,1602,O3ac,
Claud. rapt. Pros. 2.75,ann-,aruum,Ludwig Jeep,1876,F4pcL6,
Claud. rapt. Pros. 2.100,-uiret,internitet,Ludwig Jeep,1876,J4C3,
Claud. rapt. Pros. 2.103,-o,uiui,Ludwig Jeep,1876,Neap. V. D. 53 (n),
Claud. rapt. Pros. 2.126,-a,cauae,Ludwig Jeep,1876,Crac. 71 (g),
Claud. rapt. Pros. 2.148,-is/-em,odorum,Ludwig Jeep,1876,Bodl. Lat. class. e 47 (O4),
Claud. rapt. Pros. 2.189,proluit/palluit,polluit,Nicolaus Heinsius,1760,R14R26,apud Burmannum
Claud. rapt. Pros. 2.203,harenae,aristae,Johannes Schrader,1871,R4w,apud Haupt
Claud. rapt. Pros. 2.215,quae,quo,Nicolaus Heinsius,1760,e2mnr,apud Burmannum p. 952
Claud. rapt. Pros. 2.230,-us,Hymenaeon,Nicolaus Heinsius,1650,Neap. V. D. 53 (n),
Claud. rapt. Pros. 2.255,rapid-,rabido,Nicolaus Heinsius,1650,Laur. Ashb. L. 977 (F4),
Claud. rapt. Pros. 2.275,-it,deterget,Theodor Birt,1892,Berol. lat. qu. 740 (G1),
Claud. rapt. Pros. 2.300,ues-,fastigia,Caspar von Barth,1650,Laur. S. Crucis 24. sin. 12 (F1),p. 918
Claud. rapt. Pros. 2.437,fest-,faustas,Nicolaus Heinsius,1760,Rauenn. Class. 120 (r),apud Burmannum p. 955
Claud. rapt. Pros. 3.21,cogno-,commouimus,Johannes Schrader,1871,aF6k,apud Haupt
Claud. rapt. Pros. 3.36,parcum-,paruumque,Emil Baehrens,1875,Antuerp. Μ 17.1 (A2),Baehrens on Jeep
Claud. rapt. Pros. 3.88,exhaust-,exustusque,Nicolaus Heinsius,1650,Angel. 1461 (R29),
Claud. rapt. Pros. 3.102,teror/precor,premor,Emil Baehrens,1877,Marc. XII. 11 (T2),Bursiani Jahresber. p.226; marg.
Claud. rapt. Pros. 3.103,-es,indulgens,Ludwig Jeep,1876,G4V3ac,
Claud. rapt. Pros. 3.103,inter-,perstrepis,L. Reinhardt,1892,Vigorn. F 147 (H),apud Birt
Claud. rapt. Pros. 3.105,tu nota/tua nata,te nata,Nicolaus Heinsius,1760,Vratisl. IV. Q. 57 (g3),apud Burmannum p. 960
Claud. rapt. Pros. 3.137,di-,degreditur,Emil Baehrens,1875,O1O2acP2ac,Baehrens on Jeep
Claud. rapt. Pros. 3.241,decres-,marcescere,Julius Koch,1892,A1vlL10pcUpc,apud Birt
Claud. rapt. Pros. 3.248,casus,et c.,Stephanus Claverius,1602,Haun. Gl. Kgl. S. 1905 (U),
Claud. rapt. Pros. 3.267,nimium-/iamiam-,timidumque,Nicolaus Heinsius,1760,Paris. lat. 15005 (P5),apud Burmannum
Claud. rapt. Pros. 3.282,-em,hominum,Nicolaus Heinsius,1650,Paris. lat. 15005 (P5),"'-um Claud. scripserat, quicquid libri obstant'"
Claud. rapt. Pros. 3.282,-em,homines,Ludwig Jeep,1876,ae2kR38,
Claud. rapt. Pros. 3.288,-ria,trinacrida,Theodor Birt,1892,Baltim. 437 (m),
Claud. rapt. Pros. 3.301,sit,si,Stephanus Claverius,1602,Vigorn. F 147 (H),
Claud. rapt. Pros. 3.359,peti-,peritura,Stephanus Claverius,1602,R7ac,p. 35
Claud. rapt. Pros. 3.360,et,an,Nicolaus Heinsius,1760,L10vlV,apud Burmannum
Claud. rapt. Pros. 3.386,-e,animarum,Stephanus Claverius,1602,O3pcP2pc,
Claud. rapt. Pros. 3.403,-os,iuuencas,Stephanus Claverius,1602,Vigorn. F 147 (H),
Claud. rapt. Pros. 3.443,quo-,quacumque,Stephanus Claverius,1602,exc. Laeti,
Claud. rapt. Pros. 3.444,adna-,innatat,Nicolaus Heinsius,1760,Lond. Royal 15 Α vii (L5),apud Burmannum; 'etsi pro vulgato stant & codices manu exarati'
Clem.Al. Strom. 2.9.45,θαυμάσας,θαμβηβεὶς,Theodor Zahn,1892,P.Oxy. IV 654,Gesch. d. NT. Kan. ii. p. 657
Cratin. fr. 107,ποσὶν,ποσσὶν,Meineke,1839–57,Poll. 10.50 S,
Cratin. fr. 171,ΞΥΝΤΙΧΕΙΑΙ κτλ.,ξυντυχίαισι,Martin Runkel,1827,PSI XI 1212,
Cratin. fr. 415,ἀποσεισάμενος,ἀποσπ-,Bergk,1838,Synag. 127.1,Commentationum de reliquiis p. 258
Culex 40,memor-,remoretur,Emil Baehrens,1879,Corsin. 43 F 5 (Γ),
Culex 149,-em,liquorum,Haupt,1858,Cantab. Kk v 34 (C),
Culex 179,inton-,insonat,Johannes Schrader,1789,Corsin. 43 F 5 (Γ),apud Heyne
Culex 202,-oeis,Erebois,Julius Sillig,1831,Corsin. 43 F 5 (Γ),'i.e. Ἐρεβωΐς'
Culex 355,Heraea-/Cæica-,ægeaque,Scaliger,1573,ΓV,
Culex 407,Pinus,Picris,Bembo,1530,Paris. lat. 8069 (T),m. sec.
Cypr. F 1,θέτιδος,Θέμιδος,Heyne,1803,P.Oxy. LVI 3829,
D.C. 37.13.2,-τητο,ἐκεκράτυντο,Reiske,1752,Laur. Plut. 70.8 (L),apud Reimarum
D.C. 37.55.1,-ουμένου,συναιρομένου,F. W. Sturz,1825,Laur. Plut. 70.8 (L),
D.C. 38.50.3,-σκοπ-,ἐπικοπῆς,Wilhelm Xylander,1558,Laur. Plut. 70.8 (L),
D.C. 39.15.1,-ὼν,βαλὸν,Bekker,1849,Laur. Plut. 70.8 (L),
D.C. 39.51.1,τ. πρὸ τ. ἠ.,τὰ πρὸς τῆς ἠπείρου,Bekker,1849,Laur. Plut. 70.8 (L),
D.C. 39.55.4,τοῖς τε,τοῖς τότε,F. W. Sturz,1814,Laur. Plut. 70.8 (L),p. 12
D.C. 40.64.1,τ. ἐ. αὑτ- π.,τὴν ἐσθῆτα αὐτοῦ περιρρῆξαι,Reiske,1757,Laur. Plut. 70.8 (L),p. 72
D.C. 42.22.4,καὶ ἀ.,κἂν ἀπέκτεινεν,L. Dindorf,1863,Vat. gr. 73,
D.C. 44.2.4,αὐτήν,α. τε,Reiske,1757,Laur. Plut. 70.8 (L),p. 89
D.C. 46.34.2,-αντες,δόξοντες,Reiske,1757,Laur. Plut. 70.8 (L),p. 99
D.C. 46.34.2,ἀντικεκακ-,ἀνατὶ κεκακῶσθαι,H. S. Reimarus,1750,Paris. gr. 1169,
D.C. 48.24.2,-είσης,ἐρασθεὶς,Wilhelm Xylander,1558,Turon. 980,
D.C. 48.24.5,-ου,περιορώμενος,Wilhelm Xylander,1558,Turon. 980,p. 649
D.C. 69.13.3,λαμβάνων,ἀπολ-,Reiske,1757,Vat. gr. 145 (V),p. 149
D.C. fr. 5.3,-δημ-,ἔκδηλον,Bekker,1849,Vat. gr. 73,
D.C. fr. 5.6,"δι᾿ ἃς μάχεσθε, προαποκτείνετε","δ. ἃ. μ., -ατε",Bekker,1849,Vat. gr. 73,
D.C. fr. 5.7,αὐτοῖς,αὐταὶ τοῖς,Bekker,1849,Vat. gr. 73,
D.C. fr. 5.7,ἔληγον,ἐς λόγους,F. R. C. Krebs,1832,Vat. gr. 73,
D.C. fr. 8.1,ῥᾷον,ῥᾷστα,Bekker,1849,Vat. gr. 73,ῥαιστ. cod.
D.C. fr. 9.3,-ατο … ε.,ἠμύνετο … εὐηργέτει,Étienne Gros,1845,Turon. 980,
D.C. fr. 12.10,-αι,τεκμήρασθε,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 18.2,τινα ἰσχὺν ἔχειν,τινα ἰσχύειν,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.4,-μους,πολεμίους,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.6,δέχ-,δέξεσθαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.7,αἵ τε γ.,αἱ δὲ γυναῖκες,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.10,τέτοκ-,ἔτεκεν,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 23.3,οἵ τέ γε,οἵ τε γὰρ,Bekker,1849,Vat. gr. 73,
D.C. fr. 23.3,προσχαρ-,προχωρῆσαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 25.4,πολλὰ,πολλοὶ πολλὰ,Bekker,1849,Vat. gr. 73,
D.C. fr. 29.4,που,τοῦ,F. W. Sturz,1825,Vat. gr. 73,
D.C. fr. 36.2,τοὺς … αὐτοὺς,τ. … αὐτὰς,Bekker,1849,Vat. gr. 73,
D.C. fr. 36.3,που δόξει,σπουδάζει,Bekker,1849,Vat. gr. 73,
D.C. fr. 36.28,-ων,πάντα,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 36.29,-ῶν,αὐτὸν,Bekker,1849,Vat. gr. 73,
D.C. fr. 36.33,deest,συληθῆναι,Niebuhr,1828,Vat. gr. 73,RhM
D.C. fr. 38.2,προσ-,προορᾶται,Bekker,1849,Vat. gr. 73,
D.C. fr. 38.2,διαπεσεῖ ὅθεν,διαπεσεῖσθαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 39.10,τοῦ,τὸ,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 40.13,φησι,σφίσι,F. W. Sturz,1825,Vat. gr. 73,
D.C. fr. 40.18,πάθους,παρὰ,Leonhard Tafel,1831,Vat. gr. 73,in versione
D.C. fr. 40.18,θαρσή-,φθαρήσεσθαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 40.26,-οντο συνεστ-,ἐγένετο συνιστάμενοι,Bekker,1849,Vat. gr. 73,
D.C. fr. 40.31,οὐ τῶν αὐτῶν,οὐδὲν α.,Bekker,1849,Vat. gr. 73,
D.C. fr. 40.32,-οις ἐ.,τούτους ἐθεράπευεν,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 43.7,-ποίησαν,μετεποιήσαντο,Bekker,1849,Vat. gr. 73,
D.C. fr. 43.10,ἐν βίᾳ,ἂν β.,Bekker,1849,Vat. gr. 73,
D.C. fr. 43.14,ῥᾷστα αὐτὰ,ῥ. αὐτὸ,Bekker,1849,AB,
D.C. fr. 43.18,πᾶσι γὰρ,π. τὲ γ.,Bekker,1849,Vat. gr. 73,
D.C. fr. 46.2,τοῦ -οῦ,τῆς αὐτῆς,L. Dindorf,1863,Vat. gr. 73,
D.C. fr. 52.2,τότε ἐσωφρόν-,τό τε σωφρονοῦν,Bekker,1849,Paris. gr. 1169,
D.C. fr. 54.2,-ανόντως κ. πρώην,προλαμβάνων ὡς καὶ παρὸν,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.4,ὅτι,ὅτε,Bekker,1849,Vat. et Paris. gr. 1169,
D.C. fr. 55.5,τ. γε π. π.,τῶν τοῦ πολέμου πραγμάτων,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.8,οὐκέτι,οὐκ ἔστι,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.8,εὐδοκ-,εὐδοξίαν,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.10,-εῦσιν,πρέσβεσιν,Bekker,1849,Vat. gr. 73,
D.C. fr. 56.1,πάνυ δι᾿ ὀργὴν,π. δ. -ῆς,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.2,ὅ. ἀντωφ. ἐ.,ὅσον ἂν ὠφελήσεσθαί ἐλπίσωσιν,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.2,-αντας,κατορθώσοντας,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.4,ἐπειδή τοῦθ',ἐ. τε τ.,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.4,κατάρχ-,καὶ ἄρχειν,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.6a,-ᾶται,τολμᾷ,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.6b,ἐστὶν ᾿Ι.,ἐς τὴν ᾿Ιταλίαν,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.11,α. δὲ ὀ. καὶ,α. τὲ ὀ. καὶ,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.22,τ. ἄ. ἐκ μ. π.,τῶν ἄλλων τῶν ἐκ μ. προλεγομένων,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.22,π. τέ τ. ἔσται μ. ἂν α. ἀποτροπὴ μ.,π. τέ τ. ἔσται καὶ μ. ἂν α. ἀποτροπὴ μήτ᾽,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.25,-κελον,ἀπερίσκεπτον,F. W. Sturz,1825,Vat. gr. 73,
D.C. fr. 58.2,-οῦσθαι,ἐκτρυχώσειν,L. Dindorf,1864,Vat. gr. 73,corrigendum
D.H. 1.6.3,-οῖς,αὐτῆς,Reiske,1774,Chis. 58 (A),
D.H. 1.6.5,-ους,φιλοθέωρος,Reiske,1774,Chis. 58 (A),
D.H. 1.48.2,-λεῖ,κύκλῳ,Reiske,1774,Urb. 105 (B),
D.H. 1.61.4,αὐτῶ,αὑτῷ,Hermann Sauppe,1861,Urb. 105 (Bb),Eph. Gott.; m. sec.
D.H. 1.62.1,βατί-,βάτειαν,Hermann Sauppe,1861,Chis. 58 (A),
D.H. 1.65.3,προειδ-,προιδομένου,Friedrich Sylburg,1586,Urb. 105 (Ba),m. pr.
D.H. 2.45.4,-ωσι,συνάξουσι,Cobet,1854,Urb. 105 (Ba),Var. lect. p. 97; m. pr.
D.H. 3.4.2,-εις,κατάμεμψις,Reiske,1774,Urb. 105 (Bb),m. sec.
D.H. 3.23.7,-ων,εὕρισκον,Reiske,1774,ABb,
D.H. Comp. 2.6,κατανοοῦντι,κατὰ γοῦν,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 6.1,τε πῶς καὶ,τε καὶ,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 9.8,πλεῖ-,πλέον,Dindorf,1860,Laur. Plut. 59.15 (F),ad Soph. fr. 754 (774 Radt)
D.H. Comp. 11.23,συμμετριάζ-,συμμετρία σώζουσα,Reiske,1775,FPM,
D.H. Comp. 18.26,-ατο,ἐπίμπρα,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 24.7,τῶν ἁπάντων,τὸν ἀπ' αὐτῶν,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 25.43,τοῖς … -οις,τοὺς … ἀπείρους,Reiske,1775,Paris. gr. 2918 (E),
D.H. Dem. 4.5,ἐγκαλλωπιζ-,ἐγκολπιζομένην,Friedrich Sylburg,1586,Ambros. D 119 sup. (A),
D.H. Dem. 5.4,κάλλιον εἰπεῖν,καλλιεπεῖν,Friedrich Sylburg,1586,AIV,
D.H. Dem. 24.11,om.,οὔτε διδαχῆς,Reiske,1777,AB,
D.H. Dem. 50.2,ἐν ἑκάστοις σ.,ἕνεκα τοῖς σώμασι,Reiske,1777,Marc. app. gr. X 34 (V),
D.H. Isoc. 9.7,αὐτοὺς,οὐ τοὺς,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Isoc. 13.2,καιν-,κενότητος,Henri Estienne,1575,TB,
D.H. Lys. 9.5,τάξ-,λέξεως,John Taylor,1766,Laur. Plut. 59.15 (F),apud Holwell; m. pr.
D.H. Rh. 9.2,ἡ -α,τὴν διδασκαλίαν,Friedrich Sylburg,1586,Guelf. 14 (G),in tomum post. p. 9
D.L. 1.22,Νείλεῳ ἐκπεσόντι Φ.,Ν. ἐκπεσὼν τῆς Φοινίκης,Casaubon,1583,Vat. gr. 96 (Φ),
D.L. 1.34,ἀστρολόγον,-ων,Reiske,1889,Palpc Plan,Herm.
D.L. 1.53,-τροπῶ,ἐπιτρέπω,Casaubon,1583,Neap. III Β 28 (D),
D.L. 1.59,ὁτὲ,ποτὲ,Henri Estienne,1570,Gnomol.Vat. 505,
D.L. 1.68,ἕκτ-,πέμπτην,Casaubon,1583,F3,
D.L. 1.81,κ. -ὸν,κατεσοβαρεύετο αὐτοῦ,Joachim Kühn,1692,Vat. gr. 96 (Φ),
D.L. 1.81,-ρικα,γαύρηκα,Gilles Ménage,1663,B2,
D.L. 1.116,ψάμμου,σάμου,Casaubon,1583,rec.,
D.L. 1.118,αὐ- δισκῆσαι,αὑτὸν δισκεῦσαι,Scaliger,1663,Vat. gr. 96 (Φ),apud Ménage
D.L. 1.118,-ίστων,βελτιόνων,Walther Kranz,1934–7,Vat. gr. 990,
D.L. 1.121,ἄρ’ οὖν τ. ἄ. ἀ.,ἆρ’ οὖν τοῦτ’ ἄρ’ ἀληθές,Gottlieb Roeper,1848,rec.,Philol.
D.L. 2.15,ἐνθάδε,ἐνθάδ’ ὁ,Casaubon,1583,Ael. VH 8.19,
D.L. 2.18,Εὐριπίδης,-δας,Cobet,1850,Laur. Plut. 69.13 (F),
D.L. 2.24,εἰ,καὶ εἰ,C. F. Hermann,1829,Vat. gr. 96 (Φ),
D.L. 2.32,ὅτε καιρὸς,ἤδη γηραιός,Gilles Ménage,1663,Vat. gr. 990,
D.L. 2.74,εἰπεῖν μ.,εἶπε μή,Casaubon,1583,Vat. gr. 96 (Φ),
D.L. 2.105,Μήδι-,Μήδειον,Ludwig Preller,1864,Paris. gr. 1759 (P),m. pr.
D.L. 2.118,-κεκαυμ-/-κεκαλυμμ-,συγκεκαμμένον,Scaliger,1663,Neap. III B 29 (B),apud Ménage
D.L. 3.17,σαφάσαιμι/σαφὲς ἅμι,σάφα ἴσαμι,H. L. Ahrens,1843,Neap. III B 29 (B),σαφαισαμι
D.L. 3.53,-ω,μονοτρόπως,Henri Estienne,1570,Vindob. phil. gr. 314 (Vi),
D.L. 3.78,εὐ-,ἀπαραίτητα,Casaubon,1583,Paris. gr. 1417,
D.L. 4.9,ἤδη ἐδωροδόκηοεν,ᾔδει δωροδοκήσων,Madvig,1871,P4,
D.L. 4.16,συνθέμενος,-θέων,Gilles Ménage,1663,B2mg,
D.L. 4.16,ἧξε,ᾖξε,Hemsterhuis,1744,Vat. gr. 96 (Φ),ad Ar. Plut. 732
D.L. 4.48,-ους,αἰσθανομένοις,Méric Casaubon,1664,Vat. gr. 96 (Φ),apud Pearson
D.L. 5.1,φαιστιάδ-,φαιστίδος,P. J. Núñez,1621,Didym.,Vita Arist. p. 43
